city,province,year,gdp,gdp_per_capita,secondary_value_added,industrial_output,population,employment,average_wage,fdi,fixed_asset_investment,education_proxy,telecom_or_internet_proxy,foreign_trade,source_name,source_file
Wenzhou,Zhejiang,2024,8731.0,8.945696721311476,0.63,,976.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Wuhan,Hubei,2021,15616.0,12.665044606650445,2.58,,1233.0,1763564.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Wuhan,Hubei,2022,17717.0,18.968950749464668,2.51,,934.0,1877178.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Wuhan,Hubei,2024,20012.0,14.533042846768337,2.37,,1377.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Wuhu,Anhui,2021,3753.0,10.282191780821918,2.33,,365.0,498027.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Wuhu,Anhui,2022,4303.0,11.09020618556701,2.14,,388.0,557930.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Wuhu,Anhui,2024,4741.0,12.60904255319149,2.09,,376.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Wuxi,Jiangsu,2021,12370.0,16.58176943699732,0.59,,746.0,1254021.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Wuxi,Jiangsu,2022,14003.0,27.190291262135922,0.52,,515.0,1234825.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Wuxi,Jiangsu,2024,15456.0,20.608,0.47,,750.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Xi'an,Shaanxi,2021,10020.0,7.731481481481482,2.48,,1296.0,2135688.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Xi'an,Shaanxi,2022,10688.0,10.6986986986987,2.26,,999.0,2029002.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Xi'an,Shaanxi,2024,12011.0,9.182721712538227,2.1,,1308.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Xiamen,Fujian,2021,6384.0,12.324324324324325,0.45,,518.0,1267026.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Xiamen,Fujian,2022,7034.0,24.85512367491166,0.41,,283.0,1230993.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Xiamen,Fujian,2024,8066.0,15.133208255159476,0.34,,533.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Xianyang,Shaanxi,2021,2205.0,5.568181818181818,1.26,,396.0,454367.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Xianyang,Shaanxi,2022,2581.0,5.672527472527473,1.74,,455.0,452104.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Xianyang,Shaanxi,2024,2878.0,6.985436893203883,1.82,,412.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Yancheng,Jiangsu,2021,5953.0,8.87183308494784,7.95,,671.0,601200.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Yancheng,Jiangsu,2022,6617.0,8.230099502487562,8.01,,804.0,647742.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Yancheng,Jiangsu,2024,7404.0,11.067264573991032,8.01,,669.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Yantai,Shandong,2021,7816.0,11.008450704225352,4.89,,710.0,826869.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Yantai,Shandong,2022,8712.0,13.423728813559322,4.67,,649.0,865339.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Yantai,Shandong,2024,10162.0,14.455192034139403,4.57,,703.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Yinchuan,Ningxia,2021,1964.0,6.8671328671328675,1.87,,286.0,349788.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Yinchuan,Ningxia,2022,2263.0,10.776190476190477,1.65,,210.0,360350.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Yinchuan,Ningxia,2024,2686.0,9.230240549828178,1.57,,291.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Yueyang,Hunan,2021,4002.0,7.924752475247525,3.55,,505.0,480139.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Yueyang,Hunan,2022,4403.0,7.834519572953736,3.17,,562.0,455831.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Yueyang,Hunan,2024,4842.0,9.703406813627254,2.97,,499.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Zhanjiang,Guangdong,2021,3100.0,4.441260744985673,5.26,,698.0,458298.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Zhanjiang,Guangdong,2022,3560.0,4.1108545034642034,4.33,,866.0,452750.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Zhanjiang,Guangdong,2024,3794.0,5.358757062146893,4.37,,708.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Zhengzhou,Henan,2021,12004.0,9.51188589540412,0.25,,1262.0,2139900.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
